"Code";"Habitat";"Age";"Surface";"Buchholzia";"Buchholzia fallax";"Enchytraeidae";"Enchytraeus";"Enchytraeus japonensis";"Enchytraeus luxuriosus";"Fridericia";"Fridericia tuberosa";"Henlea cf. andreae PDW-2010";"Henlea ventriculosa";"Hormogastridae";"Vignysa";"Vignysa teres";"Aporrectodea";"Aporrectodea nocturna";"Aporrectodea rosea";"Bimastos";"Bimastos parvus";"Eisenia andrei";"Eisenia fetida";"Eiseniella tetraedra";"Lumbricidae";"Lumbricinae";"Achaeta";"Achaeta iberica";"Amynthas";"Megascolecidae";"Microscolex";"Microscolex dubius";"Microscolex phosphoreus";"Naididae";"Eukerria";"Eukerria saltensis";"Ocnerodrilidae";"Lumbricina";"Oligochaeta"
"Pouet_Pouet";"EspV";1;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_45EnsM";"EspV";1;"9.29";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_46EnsM";"EspV";1;"10.75";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_21EnsM";"EspV";1;"19.34";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_22EnsM";"CpPl";1;"18.51";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_16EnsM";"EvEx";1;"39.04";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_15Gal";"CpPl";2;"40.6";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_16Gal";"CpPl";2;"52.7";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"EvEx_03Gal";"EvEx";2;"270";0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_38Hei";"CpUt";1;"53.27";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_29Hei";"CpUt";1;"27.97";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"CpUt_30Hei";"CpUt";1;"425.81";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_13Hei";"EvEx";1;"142.97";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"CpPl_34Jea";"CpPl";2;"15.75";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"CpPl_35Jea";"CpPl";2;"20.3";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0
"CpPl_36Jea";"CpPl";2;"15.3";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_11Kur";"CpPl";2;"52.4";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"CpPl_12Kur";"CpPl";2;"23.85";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_13Kur";"CpPl";2;"28.9";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_14Kur";"CpPl";2;"70.7";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpUt_11Kur";"CpUt";2;"100.9";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_02Kur";"EvEx";2;"378.2";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_17Lou";"CpPl";2;"59.4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"CpPl_18Lou";"CpPl";2;"27.8";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_19Lou";"CpPl";2;"29.5";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_20Lou";"CpPl";2;"9.1";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0
"CpPl_21Lou";"CpPl";2;"89.2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"CpPl_22Lou";"CpPl";2;"37.6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_23Lou";"CpPl";2;"34.9";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_12Lou";"CpUt";2;"99";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_13Lou";"CpUt";2;"23.6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_14Lou";"CpUt";2;"113.8";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_07Lou";"EspV";2;"99";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_06Lou";"EvEx";2;"203.6";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"EvEx_07Lou";"EvEx";2;"180.4";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_08Mer";"CpPl";3;"31.5";0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"CpPl_09Mer";"CpPl";3;"91.6";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"CpPl_10Mer";"CpPl";3;"58.3";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"CpUt_09Mer";"CpUt";3;"260.7";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_10Mer";"CpUt";3;"49.1";0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"EspV_04Mou";"EspV";2;"147";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"EspV_05Mou";"EspV";2;"25.8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_06Mou";"EspV";2;"12.9";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_04Mou";"EvEx";2;"207.1";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_05Mou";"EvEx";2;"73.8";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_45Pri";"EvEx";1;"55.67";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_46Pri";"CpPl";1;"17.43";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
